name,url
2sigma,https://careers.twosigma.com/careers/ExperiencedRoles
mlp,https://career.mlp.com/careers?domain=mlp.com&sort_by=relevance&pid=755936615453
schonfeld,https://www.schonfeld.com/careers/opportunities/
pt72,https://careers.point72.com/?experience=experienced%20professionals
citsec,https://www.citadelsecurities.com/careers/open-opportunities/
citadel,"https://www.citadel.com/careers/open-opportunities?selected-job-sections=388,389,387,390&current_page=1&sort_order=DESC&per_page=10&action=careers_listing_filter"
shaw,https://www.deshaw.com/careers/choose-your-path
wall,https://job-boards.greenhouse.io/walleyecapital-external-fulltime
hrt,https://www.hudsonrivertrading.com/careers/
tower,https://tower-research.com/roles/
brevan,https://wd3.myworkdaysite.com/recruiting/brevanhoward/BH_ExternalCareers
