name,url,platform,has_public_api,note
2sigma,https://careers.twosigma.com/careers/ExperiencedRoles,UNKNOWN,,
MLP,https://career.mlp.com/careers?domain=mlp.com&sort_by=relevance&pid=755936615453,Eightfold,no,SOLVED in this project -- use scraper.fetch_eightfold_api_jobs(). Confirm the URL has 'domain' and 'pid' query params.
Schonfeld,https://www.schonfeld.com/careers/opportunities/,Greenhouse,yes,"Public API: https://boards-api.greenhouse.io/v1/boards/{board_token}/jobs -- board_token is usually in the URL path, e.g. boards.greenhouse.io/{token}."
pt72,https://careers.point72.com/?experience=experienced%20professionals,Greenhouse,yes,"Public API: https://boards-api.greenhouse.io/v1/boards/{board_token}/jobs -- board_token is usually in the URL path, e.g. boards.greenhouse.io/{token}."
pt72,https://careers.point72.com/?experience=experienced%20professionals,Workday,no,"No universally-documented public API, but most tenants expose an internal JSON endpoint at /wday/cxs/{tenant}/{site}/jobs that the page itself calls -- sniff network requests (like we did for MLP) to confirm per-tenant. High-value target: usually paginated JSON, same technique as fetch_eightfold_api_jobs()."
citsec,https://www.citadelsecurities.com/careers/open-opportunities/,FETCH FAILED (403 Client Error: Forbidden for url: https://www.citadelsecurities.com/careers/open-opportunities/),,
citadel,"https://www.citadel.com/careers/open-opportunities?selected-job-sections=388,389,387,390&current_page=1&sort_order=DESC&per_page=10&action=careers_listing_filter","FETCH FAILED (403 Client Error: Forbidden for url: https://www.citadel.com/careers/open-opportunities?selected-job-sections=388,389,387,390&current_page=1&sort_order=DESC&per_page=10&action=careers_listing_filter)",,
shaw,https://www.deshaw.com/careers/choose-your-path,UNKNOWN,,
wall,https://job-boards.greenhouse.io/walleyecapital-external-fulltime,Greenhouse,yes,"Public API: https://boards-api.greenhouse.io/v1/boards/{board_token}/jobs -- board_token is usually in the URL path, e.g. boards.greenhouse.io/{token}."
hrt,https://www.hudsonrivertrading.com/careers/,Greenhouse,yes,"Public API: https://boards-api.greenhouse.io/v1/boards/{board_token}/jobs -- board_token is usually in the URL path, e.g. boards.greenhouse.io/{token}."
tower,https://tower-research.com/roles/,Greenhouse,yes,"Public API: https://boards-api.greenhouse.io/v1/boards/{board_token}/jobs -- board_token is usually in the URL path, e.g. boards.greenhouse.io/{token}."
